concern,0.000455,0.000400
complet,0.000846,0.000353
origin,0.000530,0.000495
advanc,0.000164,0.000259
peanut,0.000063,0.000259
passbook,0.000063,0.000659
combin,0.000063,0.000306
appal,0.000152,0.000118
rule,0.000253,0.000259
saturday,0.000215,0.000447
floor,0.000227,0.000118
far,0.000682,0.000730
price,0.000694,0.000565
dinner,0.000164,0.000118
contact,0.001162,0.000895
list,0.000404,0.000471
onboard,0.000202,0.000330
usairwayssuck,0.000164,0.000118
ripoff,0.000164,0.000118
equal,0.000164,0.000118
dull,0.000177,0.000118
pittsburgh,0.000152,0.000118
ignor,0.000328,0.000118
anyon,0.001300,0.000447
play,0.000303,0.000283
abl,0.000947,0.001248
hasnt,0.000429,0.000118
benefit,0.000139,0.000259
canada,0.000063,0.000259
pari,0.000063,0.000306
field,0.000063,0.000259
haha,0.000139,0.000659
receiv,0.001136,0.000871
lot,0.000859,0.000754
fraud,0.000189,0.000118
hundr,0.000227,0.000118
abov,0.000139,0.000400
bought,0.000455,0.000424
lax,0.000960,0.001201
although,0.000152,0.000259
realli,0.002917,0.001696
hello,0.000265,0.000447
admir,0.000164,0.000330
sea,0.000139,0.000306
lga,0.000505,0.000471
by,0.003674,0.002473
st,0.000972,0.001248
probabl,0.000366,0.000424
front,0.000404,0.000259
sorri,0.000985,0.000754
ice,0.000278,0.000447
dalla,0.000657,0.000942
volunt,0.000063,0.000259
hunt,0.000063,0.000306
from,0.000063,0.010763
appar,0.000480,0.000259
theyr,0.000505,0.000400
devic,0.000189,0.000118
destroy,0.000139,0.000118
elit,0.000177,0.000118
austin,0.000227,0.000636
minor,0.000164,0.000118
recent,0.000177,0.000330
solv,0.000202,0.000118
wont,0.002121,0.000518
softwar,0.000139,0.000118
anniversari,0.000063,0.000283
airplan,0.000316,0.000283
see,0.001768,0.003368
raleigh,0.000152,0.000118
ensur,0.000164,0.000118
sw,0.000404,0.000589
appeas,0.000063,0.000447
apolog,0.000960,0.000447
frustrat,0.001667,0.000447
like,0.003826,0.003533
base,0.000177,0.000377
reconsid,0.000152,0.000118
sweet,0.000063,0.000424
that,0.000063,0.010339
promot,0.000063,0.000353
airfar,0.000063,0.000306
ha,0.000063,0.000283
good,0.001894,0.003745
sna,0.000164,0.000118
low,0.000152,0.000283
chicago,0.000593,0.001036
biz,0.000177,0.000118
kudo,0.000063,0.000730
comp,0.000215,0.000118
couldnt,0.001212,0.000400
denver,0.000669,0.000848
while,0.000934,0.000612
tue,0.000177,0.000118
fire,0.000227,0.000118
loos,0.000164,0.000118
reach,0.000669,0.000306
conflict,0.000139,0.000118
break,0.000290,0.000283
without,0.001237,0.000400
commit,0.000164,0.000118
told,0.003093,0.000659
d,0.000164,0.000636
ici,0.000152,0.000118
ya,0.000139,0.000118
mint,0.000063,0.000447
inspir,0.000063,0.000283
thank,0.004924,0.000118
coupl,0.000177,0.000306
human,0.000720,0.000118
la,0.000316,0.000659
serious,0.001149,0.000400
made,0.001667,0.001978
merg,0.000265,0.000118
technic,0.000202,0.000118
piec,0.000164,0.000118
eta,0.000139,0.000118
baggag,0.002399,0.001036
standard,0.000177,0.000118
appli,0.000227,0.000518
posit,0.000189,0.000377
pretti,0.000429,0.000447
addit,0.000265,0.000259
what,0.000063,0.005535
smooth,0.000063,0.000400
run,0.000720,0.000801
funer,0.000303,0.000259
depart,0.000808,0.000848
space,0.000391,0.000353
staff,0.001730,0.001295
attent,0.000063,0.000306
whi,0.000063,0.001955
thankyou,0.000063,0.000400
aviat,0.000063,0.000259
rapid,0.000152,0.000259
agent,0.004444,0.001696
thru,0.000530,0.000542
fail,0.001780,0.000118
